ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
27,1178,27000,5,,,,,,,,
24,1098,20500,5,,,,,,,,
19,988,14560,5,,,,,,,,
17,825,30362.5,5,,,,,,,,
23,1120,26145,5,,,,,,,,
21,1126,23537,5,,,,,,,,
16,760,25966,5,,,,,,,,
23,1029,25000,5,,,,,,,,
17,864,32750,5,,,,,,,,
22,1080,21376.5,5,,,,,,,,
22,1038,26625,4,,,,,,,,
20,1014,19399,4,,,,,,,,
22,1050,17093,4,,,,,,,,
21,1010,22983,4,,,,,,,,
22,1050,9062.5,4,,,,,,,,
20,1019,12000,4,,,,,,,,
21,986,23702,4,,,,,,,,
25,1185,23454,4,,,,,,,,
22,1055,22062,4,,,,,,,,
22,1052,26959,4,,,,,,,,
22,1086,27000,4,,,,,,,,
22,1038,27000,4,,,,,,,,
25,1137,24000,4,,,,,,,,
20,970,19000,4,,,,,,,,
21,984,21250,4,,,,,,,,
21,990,21000,4,,,,,,,,
26,1166,21647,4,,,,,,,,
23,1129,20605,4,,,,,,,,
29,1283,25000,4,,,,,,,,
23,1105,21113.5,4,,,,,,,,
26,1226,22250,4,,,,,,,,
22,1051,25375,4,,,,,,,,
25,1164,19950,4,,,,,,,,
27,1239,25500,4,,,,,,,,
20,990,27000,4,,,,,,,,
27,1188,19349.5,4,,,,,,,,
22,1070,20990,4,,,,,,,,
20,1064,27000,4,,,,,,,,
23,1050,22105,4,,,,,,,,
23,1090,22313,4,,,,,,,,
33,1478,20500,4,,,,,,,,
22,1105,25000,4,,,,,,,,
24,1114,27000,4,,,,,,,,
25,1141,26625,4,,,,,,,,
22,1042,22282.5,4,,,,,,,,
24,1133,27000,7,,,,,,,,
26,1125,20667,7,,,,,,,,
24,1128,24854,7,,,,,,,,
23,1075,23431,7,,,,,,,,
20,917,15873,7,,,,,,,,
23,1031,25626,7,,,,,,,,
21,990,26000,4,,,,,,,,
22,1050,24280.5,4,,,,,,,,
23,1067,26000,4,,,,,,,,
27,1200,23250,4,,,,,,,,
22,1060,22158.5,4,,,,,,,,
22,1064,17625,4,,,,,,,,
23,1079,27000,4,,,,,,,,
22,1049,20700,4,,,,,,,,
22,1090,24688,4,,,,,,,,
22,1010,25250,4,,,,,,,,
21,1050,20000,4,,,,,,,,
25,1124,27000,4,,,,,,,,
25,1146,21500,4,,,,,,,,
21,1030,27000,4,,,,,,,,
22,970,26540,4,,,,,,,,
21,1000,19000,8,,,,,,,,
23,1081,18733,8,,,,,,,,
19,1010,23000,8,,,,,,,,
21,949,27000,1,,,,,,,,
